Stations,Longitude,Latitude,Janvier,Fevrier,Mars,Avril,Mai,Juin,Juillet,Aout,Septembre,Octobre,Novembre,Decembre
MYRRIAH,9.15,13.72,0,0,0,0,22.5,45.1,84.2,158.4,28.6,0,0,0
NGOURTI,13.20,15.30,0,0,0,0,0,0,8,26.6,19.8,0,0,0
NGUIGMI,13.12,14.25,0,0,0,13,3.5,11.7,49.1,54.5,12.2,6.8,0,0
NIAMEY AERO,2.17,13.48,0,0,0,14.4,18.9,20.2,183.2,197.2,96.4,35.2,0,0
NIAMEY AGRHYMET,2.13,13.47,0,0,0,1,15.5,53.4,143.5,-29997,0,39.8,0,0
NIAMEY VILLE,2.13,13.50,0,0,0,0,18.2,49.7,145.1,221.3,72.8,47.2,0,0
OLLELEOUA,8.63,14.35,0,0,0,0,0.5,16,44.5,51.5,10.6,-29997,0,0
OUALLAM,2.08,14.32,0,0,0,0,13,32,45.5,107,16,56,0,0
OUNA,3.15,12.17,0,0,0,2,51.9,107.8,145.2,278.6,170.5,66,0,0
OURAFANE,8.13,14.02,0,0,0,0,0,-9971,72.3,-9957.1,24,-9999,0,0
OURNO,6.45,14.3,0,0,0,0,-19993,131,90,85.1,-9935.3,-19976.2,0,0
SABON BIRNI,3.58,11.90,0,0,0,4.6,54.3,216.1,284,236.9,196.7,19,0,0
SABON GUIDA,5.9,13.93,0,0,0,0,30.5,59,100.8,122.5,106,28.7,0,0
SABON MACHI,6.97,13.87,0,0,0,0,50,25,38,98,6.5,0,0,0
SAE SABOUA,7.35,13.57,0,0,0,0,28,34,122,-19955.5,15,0,0,0
SAMBERA,3.07,12.40,0,0,0,36.5,7,96.8,106,-19880,170.8,0,0,0
SANAM,3.92,14.67,0,0,0,0,0.7,70,35.5,93.5,-29997,-19998,0,0
SANSANE HAOUSSA,1.60,13.83,0,0,0,0,19.9,130.5,119.5,211.9,109.8,0,0,0
SAOUNI,8.45,13.35,0,0,0,0,63.5,65,79.8,154.9,75.5,0,0,0
SASSOUMBROUM,8.50,13.13,0,0,0,0,24,53,168,129,-29997,0,0,0
SAY,2.35,13.10,0,0,0,0,1.5,80.7,134.8,244.3,42.9,19.5,0,0
SAYAM .CM.I,12.50,13.63,0,0,0,0,0,2.5,83.3,-29997,-29997,-29997,0,0
SERKIN YAMMA,6.92,13.37,0,0,0,0,13.4,76.7,70.7,-19967,-19936.3,-9990.2,0,0
SIA,3.28,12.10,0,0,0,4.5,104,196.1,150.8,316,203.6,71.5,0,0
SIMIRI,2.13,14.13,0,0,0,0,11,66.9,39,56.6,51.5,40,0,0
SOKORBE,3.173611,13.508056,0,0,0,0,17.5,122.5,65,189.5,126.8,26.5,0,0
TABALAK,5.666667,15.1,0,0,0,0,19.2,121.9,-9966.8,-29997,-29997,-19998,-9999,0
TABELOT,8.93,17.42,0,0,0,0,0,0,9.5,10.5,0,2.5,0,0
TABOTAKI,5.18,13.5,0,0,0,0,7.5,60,151.5,68.5,-19983,-19909.5,0,0
TAHOUA,5.30,14.90,0,0,0,0,17.2,91,68.3,144.3,84.6,6.9,0,0
TAKIETA,8.52,13.67,0,0,0,0,8.9,58.2,75.8,113.5,69.7,1.5,0,0
TAKORKA(MADAO,6.15,13.87,0,0,0,0,97,87,63,96,70,0,0,0
TAMASKE,5.65,14.82,0,0,0,0,10.2,51.4,88.5,111.3,118.4,29.9,0,0
TAMOU,2.17,12.75,0,0,0,0,-19987.5,51.8,-9884,-19881,-9952,-19968,0,0
TANOUT,8.82,14.95,0,0,0,0,23.3,18.4,36.1,55.6,15.2,0,0,0
TASSARA,5.70,16.87,0,0,0,0,0,4.8,54.6,139.9,37.5,20,0,0
TCHADAOUA,7.45,13.55,0,0,0,0,40,31.1,136.6,111.1,-19998,-9990.5,0,0
TCHINTABARADEN,5.80,15.88,0,0,0,0,13,35,98.3,94.5,14,15.7,0,0
TEBARAM,4.45,14.82,0,0,0,0,29.4,46.4,58,-29997,-29997,-29997,0,0
TERA,0.82,14.03,0,0,0,1.5,40.1,64.4,100.7,159.8,57.4,122.8,0,0
TESKER,10.72,15.13,0,0,0,0,15,11.9,11,37.8,49,0,0,0
TESSA,3.40,12.77,0,0,0,0,14,145.2,181.2,184,-9917,2,0,0
TESSAOUA,7.98,13.75,0,0,0,16.2,14.8,53.7,70.2,126.2,40.1,9.3,0,0
TESSAOUA(GEND,7.98,13.75,0,0,0,0,3.4,47.1,56.5,107.8,34,0,0,0
TIBIRI (DOUTCHI),4.00,13.10,0,0,0,0,9.4,92.4,68.9,126.1,75,18.1,0,0
TIBIRI MARADI,7.03,13.58,0,0,0,0,-9939,-9985,-9965,-19990,-9967.4,-19998,0,0
TILEMSES,4.75,15.60,0,0,0,0,27.5,105.8,51,72.4,-19964.4,-29997,0,0
TILLABERY,1.45,14.20,0,0,0,0,8.6,72.8,46.6,85.5,23.7,19.9,0,0
TILLIA,4.78,16.13,0,0,0,0,28.5,29.7,34.2,115.2,10.4,23.5,0,0
TORODI (AGRI),1.80,13.12,0,0,0,0,24,78.5,167.8,216.2,52.5,39,0,0
TORODI BRIGAD,1.8,13.12,0,0,0,0,25,80,182.8,171.5,46,24,0,0
TOUKOUNOUS,3.28,14.50,0,0,0,0,3.5,70.7,48.6,163.7,76.5,20.8,0,0
TOUMOUR,13.13,13.67,0,0,0,0,0,0,33.2,34.4,56,0,0,0
TSERNAOUA,5.33,13.88,0,0,0,0,6.5,128.9,106.7,181,132.3,0,0,0
YAOURI,8.55,13.27,0,0,0,0,26,69.3,136,60,-9959,31,0,0
YELOU,3.57,12.25,0,0,0,6,96,218.5,151,249,121.6,-29997,0,0
ZINDER AERO,8.98,13.78,0,0,0,0,25.1,72.1,64,134.8,33.4,1.5,0,0
