Stations,Longitude,Latitude,Janvier,Fevrier,Mars,Avril,Mai,Juin,Juillet,Aout,Septembre,Octobre,Novembre,Decembre
SAMOROGOUAN,-4.93,11.4,0,0,0,22.6,-29997,-29997,-29997,273.5,78.5,10,40.1,14.5
SAPONE,-1.6,12.05,0,0,0,58.3,74.8,12.9,217.8,226.8,192.9,4.2,0,0
SARIA,-2.15,12.27,0,3.5,0,11.6,22.2,22.8,214.4,346.3,166.2,43.2,0.8,0
SEBBA,0.52,13.43,1,1.4,0,17.8,33.6,85.9,181.2,232.7,147.4,20.6,0,0
SEGUENEGA,-1.97,13.43,0,0,0,18.7,9.2,74.3,235.3,360.8,106.4,6.2,0,0
SIDERADOUGOU,-4.25,10.68,0,0,49,72.5,126.1,95.9,214.1,151.8,114.2,106.9,0,0
SINDOU,-5.17,10.67,0,0,21.3,84.2,97.4,117,222.9,264.6,212.7,87.9,9.8,0.3
SOLENZO,-4.08,12.18,0,0,2.2,8.4,77.6,58.6,371,292.6,86.9,17.3,16.4,0
SOUROU-GASSAN,-3.22,12.82,0,0,0,11,45,89.7,221.4,268,130.6,17.8,0,0
TANSILA,-4.38,12.42,0,0,25,47.6,80.3,100.5,198.3,362.1,136.7,53.9,6.8,0
TEMA,-1.77,13.05,0,5,0,16,44,146.9,165.1,274.7,112.4,1.5,0,5.6
TENKODOGO,-0.38,11.77,0,0,0,42,101.5,77.6,184.6,159.9,197.9,54.8,11.2,0
TIEBELE,-0.97,11.1,0,0,0,80.9,83.8,55.4,234.4,194.6,217.9,42.3,1.2,0
TIOGO,-2.68,12.18,0,15.5,0,71.9,54.8,72.6,343.4,248.3,138.2,31.8,0,0
TITAO,-2.07,13.77,0,0,0,0,18,81.4,57.1,250.3,122.2,2,0,0
TOECE,-1.25,11.62,0,2,0,66.1,73.8,113.5,340.4,218.2,282.8,20.9,0,12.7
TOENI,-3.18,13.43,0,0,0,12,10.1,147.1,164.3,236.8,144.5,26.6,0,0
TOMA,-2.9,12.77,0,0,0,1.2,34.4,70.6,210.4,302.1,139.2,17.4,3.6,0
TOUGAN,-3.07,13.08,0.4,0,0,22.5,21.5,172.1,270.2,332,-29997,-29997,-9999,0
TOUGOURI,-0.5,13.32,0,0,0,0,15,68.5,134,257,149,67,149,0
VALLEE DU KOU,-4.38,11.37,0,0,12.3,15,76.5,127.7,395.6,257.1,253,72.9,0,0
WONA,-3.43,11.97,0,0,0,38.4,23.8,86.4,199.8,184.1,207.6,0,0,0
YAKO,-2.27,12.97,0,0,0,21.1,48.1,76.1,131.5,269.4,143.5,18.2,0,0
YAMBA,0.33,12.3,0,0,4,6,48.9,131.8,102,194.5,186.9,41,0,0
ZABRE,-0.6,11.17,0,0,0,88.3,-29997,63.7,178.7,185.6,259.2,57.2,0,0
ZORGHO,-0.62,12.25,0,0,0,7.3,57,34.1,234.9,140.7,161.1,29.6,0,0
BITOU,-0.306111,11.258056,0,0,5.5,12.8,104.6,104.6,314.6,305,204.9,76.4,0,0
BOBO-DIOULASS,-4.30,11.17,0,0,2.1,105,129.8,48.4,413.9,153.9,142.1,74.8,9,0
BOGANDE,-0.13,12.98,0,0.3,0,18.6,44.4,64.4,208.7,263.6,199,14.3,0,0
BOROMO,-2.92,11.73,0,12.1,7.3,28.1,194.3,48.6,277.2,307.1,144.1,14,4.4,1.1
BOUSSOUMA,0,0,0,0,0,20.1,46,91.4,262,314.7,94.4,34.4,8.2,0
DEDOUGOU,-3.48,12.47,0,0,0,18.1,87.4,136,209.5,417.1,81.9,10.2,8,0
DORI,-0.03,14.03,0,0.4,0,8,6.6,71.9,159.5,273.9,95.6,10,0,0
FADA N'GOURMA,0.35,12.07,0,38.5,0.9,6.2,34.7,75.1,132.5,327.9,171.6,36.9,0,0
FARAKO-BA (AG,-4.33,11.10,0,0,0,48.6,102,143,378.5,153.1,151.8,97.3,4.2,0
GAO BF,-2.18,11.65,0,41.3,24.8,34.4,99.6,40.5,166.2,441,-29997,-29997,0.7,0
GAOUA,-3.18,10.33,0,5.7,15.6,62.1,121,200.3,178.4,139,198.9,66.8,56,0.1
